127.0.0.1, 2019-05-16 10:48:50, GET, /start/default/index, HTTP/1.1, 200, 0.037000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.032000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.055000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.042000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2019-05-16 10:48:50, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2019-05-16 10:48:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 10:48:53, GET, /start/default/index/new/products, HTTP/1.1, 200, 0.040000
127.0.0.1, 2019-05-16 10:48:53, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 10:48:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 10:48:56, POST, /start/default/index/new/products, HTTP/1.1, 303, 0.028000
127.0.0.1, 2019-05-16 10:48:56, GET, /start/default/index, HTTP/1.1, 200, 0.060000
127.0.0.1, 2019-05-16 11:30:59, GET, /start/default/index, HTTP/1.1, 500, 0.234000
127.0.0.1, 2019-05-16 11:30:59, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 11:31:08, GET, /admin/default/ticket/start/127.0.0.1.2019-05-16.11-30-59.d0b82d33-38f5-4f69-9e73-00b23ecc3748, HTTP/1.1, 303, 0.008000
127.0.0.1, 2019-05-16 11:31:08, GET, /admin/default/index, HTTP/1.1, 200, 0.016000
127.0.0.1, 2019-05-16 11:31:09, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2019-05-16 11:31:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 11:31:10, POST, /admin/default/index, HTTP/1.1, 303, 0.019000
127.0.0.1, 2019-05-16 11:31:10, GET, /admin/default/ticket/start/127.0.0.1.2019-05-16.11-30-59.d0b82d33-38f5-4f69-9e73-00b23ecc3748, HTTP/1.1, 200, 0.074000
127.0.0.1, 2019-05-16 11:31:10, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 11:31:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 11:31:24, GET, /start/default/index, HTTP/1.1, 500, 0.142000
127.0.0.1, 2019-05-16 11:31:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 11:31:25, GET, /start/default/index/new/products, HTTP/1.1, 500, 0.091000
127.0.0.1, 2019-05-16 11:31:25, GET, /start/default/index, HTTP/1.1, 500, 0.078000
